,precision,recall,f1-score,support
0,0.6304019755796405,0.795257874697127,0.7032983852452742,5778.0
1,0.6173469387755102,0.8984202211690363,0.7318234461459271,6330.0
2,0.9105348460291735,0.9572329187255069,0.9333001079823907,5869.0
3,0.9467465199093558,0.979896130005026,0.9630361406108504,5969.0
4,0.9174280296500603,0.9471436198611852,0.9320490367775832,5619.0
5,0.8933969769291965,0.8655105973025048,0.8792327265609708,5190.0
6,0.9314725054320575,0.9768624014022788,0.9536276522929501,5705.0
7,0.9442966671882335,0.9830591301514905,0.9632881085395052,6139.0
8,0.9463075276489475,0.9417717024676017,0.9440341667408133,5633.0
9,0.8750596089651884,0.9681674287724235,0.9192619186774652,5686.0
A,0.8873517786561265,0.8455743879472694,0.8659594985535197,1062.0
B,0.9337979094076655,0.41358024691358025,0.5732620320855615,648.0
C,0.7216494845360825,0.8855664174813112,0.7952491608572165,1739.0
D,0.9452332657200812,0.5982028241335045,0.7327044025157232,779.0
E,0.972809667673716,0.7567567567567568,0.8512888301387971,851.0
F,0.7555555555555555,0.7791666666666667,0.7671794871794871,1440.0
G,0.9660377358490566,0.5727069351230425,0.7191011235955056,447.0
H,0.8784403669724771,0.7351247600767754,0.800417972831766,521.0
I,0.582451773490977,0.45703125,0.5121751025991792,2048.0
J,0.8267419962335216,0.7012779552715654,0.7588591184096801,626.0
K,0.6290322580645161,0.612565445026178,0.6206896551724138,382.0
L,0.7585492227979275,0.9037037037037037,0.8247887323943662,810.0
M,0.7570558937465413,0.9212121212121213,0.8311057108140949,1485.0
N,0.8500986193293886,0.9570688378978535,0.9004178272980501,1351.0
O,0.5905778240499739,0.5459576515880654,0.5673918479619904,4156.0
P,0.7330873308733087,0.8532569792412312,0.7886205755871651,1397.0
Q,0.9655172413793104,0.4067796610169492,0.5724020442930154,413.0
R,0.9195402298850575,0.69221260815822,0.7898448519040903,809.0
S,0.7396208303335733,0.878563283922463,0.8031270358306188,3508.0
T,0.8694610778443114,0.9213197969543148,0.8946395563770795,1576.0
U,0.7374346602332127,0.916083916083916,0.8171084874136779,2002.0
V,0.5944134078212291,0.6683417085427136,0.6292134831460674,796.0
W,0.8278443113772455,0.6861042183622829,0.7503392130257802,806.0
X,0.6542553191489362,0.5694444444444444,0.6089108910891089,432.0
Y,0.6763358778625954,0.5551378446115288,0.6097728836889195,798.0
Z,0.7302325581395349,0.33836206896551724,0.46244477172312226,464.0
a,0.8561381074168798,0.8144768856447688,0.8347880299251871,1644.0
b,0.8780487804878049,0.7174677608440797,0.7896774193548386,853.0
c,0.22727272727272727,0.05787037037037037,0.09225092250922509,432.0
d,0.9618226600985221,0.9281045751633987,0.9446628364076202,1683.0
e,0.9142394822006472,0.9665200391006843,0.9396531242575433,4092.0
f,0.46153846153846156,0.105,0.17107942973523424,400.0
g,0.7475728155339806,0.1307300509337861,0.22254335260115607,589.0
h,0.8811420982735724,0.8972278566599053,0.8891122278056951,1479.0
i,0.711864406779661,0.29508196721311475,0.41721854304635764,427.0
j,0.6747404844290658,0.6151419558359621,0.6435643564356435,317.0
k,0.7173144876325088,0.4356223175965665,0.5420560747663551,466.0
l,0.3983440662373505,0.1708086785009862,0.2390944229707344,2535.0
m,0.36619718309859156,0.05603448275862069,0.09719626168224299,464.0
n,0.9068193649141072,0.9178082191780822,0.912280701754386,1898.0
o,0.2,0.004291845493562232,0.008403361344537815,466.0
p,0.441340782122905,0.21467391304347827,0.2888482632541134,368.0
q,0.7121212121212122,0.09306930693069307,0.1646234676007005,505.0
r,0.8693447737909517,0.9607758620689655,0.9127764127764127,2320.0
s,0.2,0.004576659038901602,0.008948545861297539,437.0
t,0.8761153054221003,0.8610455311973019,0.868515053580541,2965.0
u,0.31521739130434784,0.06016597510373444,0.10104529616724738,482.0
v,0.4425770308123249,0.33760683760683763,0.38303030303030305,468.0
w,0.6588983050847458,0.6659528907922913,0.6624068157614483,467.0
x,0.6506024096385542,0.574468085106383,0.6101694915254238,470.0
y,0.39106145251396646,0.1837270341207349,0.25,381.0
z,0.5849673202614379,0.3968957871396896,0.4729194187582563,451.0
accuracy,0.8136052199479037,0.8136052199479037,0.8136052199479037,0.8136052199479037
macro avg,0.7284099822915439,0.6282188613241783,0.648981130951165,116323.0
weighted avg,0.8020633397038659,0.8136052199479037,0.7965496724767689,116323.0
