,precision,recall,f1-score,support
0,0.6377630278209292,0.7860748476936467,0.7041946047091845,5745.0
1,0.623721436343852,0.895625,0.7353431686978832,6400.0
2,0.9136845593108018,0.9566348655680833,0.9346665536818912,5765.0
3,0.9483443708609272,0.9830101252788742,0.9653661414005223,5827.0
4,0.9212962962962963,0.9410694798108403,0.9310779197408674,5498.0
5,0.9107214832728738,0.8484791588434097,0.8784992223950233,5326.0
6,0.9335322393502403,0.973215828581303,0.9529610829103214,5787.0
7,0.9458305975049245,0.9810999489187808,0.9631424989552861,5873.0
8,0.9411347517730496,0.9386383731211317,0.9398849048251438,5655.0
9,0.8790749959852256,0.9686781100690144,0.9217039905708032,5651.0
A,0.9110651499482937,0.832703213610586,0.8701234567901235,1058.0
B,0.9638989169675091,0.40950920245398775,0.5748116254036598,652.0
C,0.8605627887442251,0.9503710575139147,0.9032400264491954,2156.0
D,0.9364035087719298,0.580952380952381,0.7170445004198153,735.0
E,0.9653092006033183,0.7441860465116279,0.840446487196323,860.0
F,0.7532637075718016,0.7572178477690289,0.7552356020942408,1524.0
G,0.9367088607594937,0.5162790697674419,0.6656671664167916,430.0
H,0.8869565217391304,0.7083333333333334,0.7876447876447877,576.0
I,0.6198860693940963,0.49606299212598426,0.5511049723756904,2413.0
J,0.8571428571428571,0.7631578947368421,0.8074245939675174,912.0
K,0.944954128440367,0.7639060568603214,0.8448393711551606,809.0
L,0.5748987854251012,0.33829660512209647,0.42594675665541804,3358.0
M,0.9819724284199364,0.9334677419354839,0.9571059431524548,1984.0
N,0.8653976886471788,0.9422649888971133,0.9021970233876683,1351.0
O,0.6425395256916996,0.5545842217484008,0.5953307392996109,4690.0
P,0.8574390876101607,0.91280353200883,0.884255546645282,1812.0
Q,0.9516129032258065,0.42650602409638555,0.589018302828619,415.0
R,0.9282218597063622,0.681437125748503,0.7859116022099448,835.0
S,0.8064366751562861,0.8933059758912542,0.847651496714529,3899.0
T,0.8336143901068016,0.9098159509202454,0.8700498679964798,1630.0
U,0.8862612612612613,0.9339398734177216,0.9094761171032358,2528.0
V,0.851213782302271,0.8887980376124285,0.8696,1223.0
W,0.9851398601398601,0.893026941362916,0.9368246051537822,1262.0
X,0.9697732997481109,0.8584169453734671,0.9107037256061503,897.0
Y,0.8679039301310044,0.6652719665271967,0.7531975367124586,1195.0
Z,0.8519685039370078,0.5848648648648649,0.6935897435897437,925.0
a,0.8692852543464262,0.8093525179856115,0.838248990996585,1668.0
b,0.8994778067885117,0.7392703862660944,0.811542991755006,932.0
d,0.96712158808933,0.9127634660421545,0.9391566265060242,1708.0
e,0.9263307984790875,0.9586817511067388,0.942228668116993,4066.0
f,0.34375,0.07746478873239436,0.1264367816091954,426.0
g,0.7788461538461539,0.13893653516295026,0.23580786026200876,583.0
h,0.884469696969697,0.9127035830618893,0.898364860532222,1535.0
n,0.888265306122449,0.9300213675213675,0.9086638830897703,1872.0
q,0.8867924528301887,0.08818011257035648,0.16040955631399317,533.0
r,0.8767496111975117,0.9534883720930233,0.9135102288839376,2365.0
t,0.8564510549982705,0.8311513930849278,0.8436115843270868,2979.0
accuracy,0.8455593476784471,0.8455593476784471,0.8455593476784471,0.8455593476784471
macro avg,0.8579401951867789,0.7566812745249992,0.7828353982393281,116323.0
weighted avg,0.8477673980129425,0.8455593476784471,0.8380226017373764,116323.0
