,precision,recall,f1-score,support
0,0.5471082089552238,0.20301142263759087,0.296137339055794,5778.0
1,0.4714467005076142,0.9390205371248025,0.6277326011194424,6330.0
2,0.8751345532831001,0.138524450502641,0.23918799646954986,5869.0
3,0.8369747899159664,0.4171553023957112,0.5567978533094812,5969.0
4,0.827027027027027,0.027229044313934865,0.0527222605099931,5619.0
5,0.7032258064516129,0.23102119460500964,0.34778825235678024,5190.0
6,0.6351180438448567,0.5281332164767748,0.5767059048712795,5705.0
7,0.8247226624405706,0.4238475321713634,0.55993113836884,6139.0
8,0.5006180469715699,0.2875909817148944,0.365317397677303,5633.0
9,0.2953985209531635,0.7587055926837847,0.42523410547067514,5686.0
A,0.5324675324675324,0.038606403013182675,0.07199297629499561,1062.0
B,0.24375,0.12037037037037036,0.16115702479338842,648.0
C,0.6047904191616766,0.05807935595169638,0.10598111227701994,1739.0
D,0.4797297297297297,0.1822849807445443,0.26418604651162797,779.0
E,0.4482758620689655,0.06110458284371328,0.10754912099276112,851.0
F,0.17307692307692307,0.00625,0.012064343163538875,1440.0
G,0.3515151515151515,0.1297539149888143,0.1895424836601307,447.0
H,0.3162393162393162,0.0710172744721689,0.11598746081504703,521.0
I,0.2878787878787879,0.00927734375,0.017975402081362345,2048.0
J,0.39090909090909093,0.06869009584664537,0.11684782608695653,626.0
K,0.3006535947712418,0.12041884816753927,0.1719626168224299,382.0
L,0.41545893719806765,0.2123456790123457,0.2810457516339869,810.0
M,0.6078431372549019,0.06262626262626263,0.11355311355311357,1485.0
N,0.3559870550161812,0.16284233900814213,0.22346368715083798,1351.0
O,0.05172413793103448,0.0007218479307025986,0.0014238253440911248,4156.0
P,0.30857740585774057,0.21116678596993557,0.2507437314067148,1397.0
Q,0.29846938775510207,0.28329297820823246,0.2906832298136646,413.0
R,0.3958333333333333,0.023485784919653894,0.04434072345390898,809.0
S,0.46153846153846156,0.0017103762827822121,0.0034081226924169276,3508.0
T,0.7946577629382304,0.3020304568527919,0.4377011494252874,1576.0
U,0.42127659574468085,0.04945054945054945,0.08851139919535092,2002.0
V,0.13162118780096307,0.10301507537688442,0.11557434813248767,796.0
W,0.48863636363636365,0.21339950372208435,0.2970639032815198,806.0
X,0.43558282208588955,0.16435185185185186,0.23865546218487396,432.0
Y,0.2375,0.023809523809523808,0.04328018223234624,798.0
Z,0.29767441860465116,0.13793103448275862,0.18851251840942562,464.0
a,0.24674022066198595,0.29927007299270075,0.27047828477185265,1644.0
b,0.14782608695652175,0.21922626025791325,0.17658168083097261,853.0
c,0.09723461195361284,0.5046296296296297,0.16305160807778607,432.0
d,0.3647454774926378,0.5151515151515151,0.42709359605911335,1683.0
e,0.6870068385060495,0.31915933528836754,0.43584181545135997,4092.0
f,0.07962085308056872,0.21,0.1154639175257732,400.0
g,0.01834862385321101,0.010186757215619695,0.013100436681222708,589.0
h,0.5301204819277109,0.029749830966869506,0.056338028169014086,1479.0
i,0.005195899452324112,0.08665105386416862,0.00980392156862745,427.0
j,0.12149532710280374,0.24605678233438485,0.16266944734098018,317.0
k,0.18613138686131386,0.10944206008583691,0.13783783783783785,466.0
l,0.1539568345323741,0.04220907297830375,0.06625386996904024,2535.0
m,0.09208261617900172,0.9224137931034483,0.1674491392801252,464.0
n,0.4404984423676013,0.3724973656480506,0.4036540108478447,1898.0
o,0.024170752812229593,0.8991416309012875,0.047076006965900793,466.0
p,0.07168,0.6086956521739131,0.1282565130260521,368.0
q,0.059782608695652176,0.06534653465346535,0.062440870387890264,505.0
r,0.4476146998402191,0.8452586206896552,0.5852857782420534,2320.0
s,0.04804804804804805,0.4759725400457666,0.08728493495593789,437.0
t,0.8837209302325582,0.012816188870151771,0.02526595744680851,2965.0
u,0.11543715846994536,0.3506224066390041,0.1736896197327852,482.0
v,0.10131396957123098,0.6260683760683761,0.17440476190476192,468.0
w,0.2691891891891892,0.5331905781584583,0.35775862068965525,467.0
x,0.36554621848739494,0.3702127659574468,0.36786469344608874,470.0
y,0.07945205479452055,0.07611548556430446,0.0777479892761394,381.0
z,0.12023460410557185,0.36363636363636365,0.18071625344352615,451.0
accuracy,0.29596898291825346,0.29596898291825346,0.29596898291825346,0.29596898291825346
macro avg,0.35654251145224186,0.2562256962444304,0.20764793555721892,116323.0
weighted avg,0.5141243630936821,0.29596898291825346,0.2921861514944428,116323.0
