,precision,recall,f1-score,support
0,0.5131956397016638,0.6228024369016536,0.562711331288826,5745.0
1,0.42269172726025517,0.9628125,0.5874725903327296,6400.0
2,0.8188175460902734,0.22341717259323504,0.351049332243118,5765.0
3,0.7774008350730689,0.5112407756993307,0.6168340407909721,5827.0
4,0.8870056497175142,0.05711167697344489,0.10731373889268626,5498.0
5,0.7213709677419354,0.33589936162223055,0.45836535997950284,5326.0
6,0.5189629797350843,0.7921202695697253,0.6270861833105335,5787.0
7,0.7460545193687231,0.4427038991997276,0.5556742893780722,5873.0
8,0.3902439024390244,0.3819628647214854,0.386058981233244,5655.0
9,0.24385877672799602,0.8678110069014334,0.3807305617017973,5651.0
A,0.5783132530120482,0.045368620037807186,0.08413672217353199,1058.0
B,0.2150313152400835,0.1579754601226994,0.18213969938107868,652.0
C,0.7006369426751592,0.10204081632653061,0.17813765182186234,2156.0
D,0.46920821114369504,0.21768707482993196,0.2973977695167286,735.0
E,0.2670157068062827,0.1186046511627907,0.1642512077294686,860.0
F,0.13333333333333333,0.006561679790026247,0.012507817385866166,1524.0
G,0.35714285714285715,0.1511627906976744,0.21241830065359477,430.0
H,0.18181818181818182,0.059027777777777776,0.08912188728702489,576.0
I,0.08163265306122448,0.0016576875259013675,0.003249390739236393,2413.0
J,0.5402298850574713,0.051535087719298246,0.09409409409409408,912.0
K,0.336734693877551,0.12237330037082818,0.1795104261106074,809.0
L,0.4383561643835616,0.009529481834425254,0.018653453803555816,3358.0
M,0.6797752808988764,0.3659274193548387,0.4757536041939711,1984.0
N,0.34699714013346045,0.2694300518134715,0.30333333333333334,1351.0
O,0.49334053275737944,0.5844349680170575,0.5350380636345891,4690.0
P,0.3888470233609646,0.2847682119205298,0.32876712328767127,1812.0
Q,0.259825327510917,0.28674698795180725,0.2726231386025201,415.0
R,0.5094339622641509,0.06467065868263473,0.11477151965993625,835.0
S,0.7235772357723578,0.0684790972044114,0.12511715089034678,3899.0
T,0.7483617300131061,0.35030674846625764,0.47722524028416213,1630.0
U,0.46258503401360546,0.08069620253164557,0.13742000673627483,2528.0
V,0.27206946454413894,0.46116107931316436,0.3422330097087379,1223.0
W,0.6921086675291074,0.42393026941362916,0.5257985257985258,1262.0
X,0.7688888888888888,0.19286510590858416,0.3083778966131907,897.0
Y,0.4634146341463415,0.015899581589958158,0.030744336569579287,1195.0
Z,0.3507853403141361,0.14486486486486486,0.20504973221117062,925.0
a,0.16544750430292599,0.46103117505995206,0.2435085497150095,1668.0
b,0.15147453083109919,0.24248927038626608,0.18646864686468645,932.0
d,0.2915082382762991,0.6733021077283372,0.4068636122412878,1708.0
e,0.4113007651559741,0.8593212001967536,0.5563251333492556,4066.0
f,0.11136890951276102,0.22535211267605634,0.14906832298136646,426.0
g,0.024242424242424242,0.0137221269296741,0.017524644030668127,583.0
h,0.457286432160804,0.05928338762214984,0.10495963091118803,1535.0
n,0.3104089219330855,0.8028846153846154,0.4477211796246649,1872.0
q,0.029495718363463368,0.058161350844277676,0.039141414141414144,533.0
r,0.3882310074694844,0.9010570824524313,0.5426534250063662,2365.0
t,0.9024390243902439,0.012420275260154415,0.024503311258278145,2979.0
accuracy,0.41096773638919215,0.41096773638919215,0.41096773638919215,0.41096773638919215
macro avg,0.4413248825572975,0.30094919880747834,0.27765756130843244,116323.0
weighted avg,0.5264048569832761,0.41096773638919215,0.36224180795367433,116323.0
