,precision,recall,f1-score,support
0,0.6278976818545163,0.8203655352480418,0.7113425401856464,5745.0
1,0.6475294117647059,0.86,0.7387919463087248,6400.0
2,0.8872647542481271,0.8423243712055507,0.8642107136501156,5765.0
3,0.9438262742282842,0.9025227389737429,0.9227125186419862,5827.0
4,0.9075436015969741,0.7855583848672244,0.8421565759968802,5498.0
5,0.8151621727237202,0.7833270747277506,0.7989276139410189,5326.0
6,0.8764900662251656,0.9148090547779506,0.8952397057580114,5787.0
7,0.9518698060941828,0.9361484760769624,0.9439436861533179,5873.0
8,0.8107630522088354,0.8924845269672856,0.8496632996632998,5655.0
9,0.8225482625482625,0.942488055211467,0.8784430150090714,5651.0
A,0.6254716981132076,0.6266540642722117,0.6260623229461757,1058.0
B,0.3517635843660629,0.5659509202453987,0.4338624338624339,652.0
C,0.8029126213592233,0.7671614100185529,0.7846299810246679,2156.0
D,0.7795918367346939,0.5197278911564626,0.6236734693877551,735.0
E,0.8514376996805112,0.6197674418604651,0.7173620457604307,860.0
F,0.594033031433138,0.7316272965879265,0.6556895030873272,1524.0
G,0.5846645367412141,0.4255813953488372,0.49259757738896376,430.0
H,0.46511627906976744,0.6597222222222222,0.5455850681981336,576.0
I,0.5366666666666666,0.46705346042271034,0.49944604475958343,2413.0
J,0.7472924187725631,0.680921052631579,0.7125645438898451,912.0
K,0.6944444444444444,0.5253399258343634,0.5981703026038001,809.0
L,0.4828109201213347,0.28439547349612865,0.35794602698650674,3358.0
M,0.8281960586154623,0.8261088709677419,0.8271511481201109,1984.0
N,0.7130890052356021,0.5040710584752035,0.5906331309627059,1351.0
O,0.683111954459203,0.4605543710021322,0.5501782985226694,4690.0
P,0.8481735159817352,0.8200883002207505,0.8338945005611672,1812.0
Q,0.5137614678899083,0.5397590361445783,0.5264394829612221,415.0
R,0.6203389830508474,0.6574850299401198,0.6383720930232558,835.0
S,0.7581027667984189,0.7378815080789947,0.7478554717962047,3899.0
T,0.8299866131191432,0.7607361963190185,0.793854033290653,1630.0
U,0.8248888888888889,0.7341772151898734,0.7768940979489326,2528.0
V,0.7201426024955436,0.660670482420278,0.6891257995735607,1223.0
W,0.8182608695652174,0.7456418383518225,0.7802653399668324,1262.0
X,0.6305668016194332,0.6945373467112598,0.6610079575596817,897.0
Y,0.5468424705065926,0.6594142259414226,0.5978755690440061,1195.0
Z,0.49624060150375937,0.5708108108108109,0.530920060331825,925.0
a,0.5229400749063671,0.669664268585132,0.5872765509989485,1668.0
b,0.672289156626506,0.5987124463519313,0.6333711691259931,932.0
d,0.8403064230995875,0.8348946135831382,0.8375917767988252,1708.0
e,0.8562075044069504,0.8362026561731432,0.8460868483264901,4066.0
f,0.3291139240506329,0.12206572769953052,0.17808219178082194,426.0
g,0.4158415841584158,0.07204116638078903,0.12280701754385967,583.0
h,0.7537901758641601,0.8097719869706841,0.7807788944723617,1535.0
n,0.803103263777421,0.8018162393162394,0.8024592354985298,1872.0
q,0.14583333333333334,0.07879924953095685,0.1023142509135201,533.0
r,0.7722202231018352,0.907399577167019,0.8343701399688959,2365.0
t,0.7662921348314606,0.8012755958375294,0.7833935018050542,2979.0
accuracy,0.7626092862116692,0.7626092862116692,0.7626092862116692,0.7626092862116692
macro avg,0.6918455578485538,0.6693300125600625,0.6711919041723367,116323.0
weighted avg,0.7635121853052322,0.7626092862116692,0.7570566088747671,116323.0
